"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Azerbaijan","AZE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5551452636719","99.7049277072883","99.5612258911133","100","99.5619812011719","99.5776824951172","99.6126022338867","99.8","99.7398147583008","99.8235855102539","99.9077453613281","99.9677200317383","99.9","100","100","100","100","100","100","100","100","",
"Burundi","BDI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6","50.5398025512695","50.6822319030762","50.8164024353027","50.9492416381836","51.0876808166504","51.2386474609375","45.049504950495","51.5995178222656","51.8065643310547","39.6","52.2522506713867","49","52.7109184265137","58.5","52.4","52.1","57.1476745605469","58.6976699829102","61.8","61.5469093322754","62.7424240112305","",
"Belgium","BEL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4","44.7813873291016","45.7014350891113","46.6010475158691","47.4854698181152","49.6","49.2364730834961","50.1169090270996","51.0098686218262","51.9220542907715","56.6","53.8037757873535","54.7648086547852","55.733455657959","65.4","67","68.6","61.0203742980957","55.8","51.67","62.4674797058105","54.2","64.3675308227539","65.3170318603516","",
"Burkina Faso","BFA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","33.4402618408203","34.6333847045898","35.8138656616211","36.9785537719727","38.1242828369141","39.7","40.3596878051758","41.461540222168","42.5620574951172","52.4","44.7868270874023","45.924690246582","47.0830574035645","48.2577819824219","49.4444999694824","44.41","48.5","53.0328636169434","54.2246742248535","55.4117736816406","58.4","58.0520095825195","59.8382949829102","61.5986289978027","62.3","64.591926574707","",
"Bangladesh","BGD","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.060595224431","67.5852737426758","68.7489700317383","75.2","71.0542449951172","72.1895065307617","79.5","74.4094772338867","75.4895477294922","81.2","77.6110687255859","78.6663665771484","79.7272644042969","76.6","82.61","77.799135031235","82.1","85.277473449707","86.4265823364258","90.1","90.2","90.6800231933594","88","90.7","93.4827041625977","94.01","99.5","96.5","97.8","",
"Bulgaria","BGR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahrain","BHR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahamas, The","BHS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","99.9699249267578","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bosnia and Herzegovina","BIH","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","99.3","100","100","100","99.7146932952924","100","100","100","100","99.7639282341832","100","100","100","100","100","100","100","100","",
"Belarus","BLR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Belize","BLZ","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","94.394660949707","94.5817260742188","94.7624740600586","94.9337387084961","95.0923690795898","95.2352066040039","95.3590850830078","95.4625244140625","95","95.6307830810547","95.7094497680664","95.7937164306641","95.890510559082","96.0065231323242","98.0671414038657","96.2959136962891","96.4607772827148","96.6332550048828","96.999642510597","96.3133640552995","97.1535415649414","97.3187942504883","97.480110168457","96.9","97.7941055297852","97.9815826416016","97.9","98.48","",
"Bermuda","BMU","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bolivia","BOL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.571038","96.038393","93","94.3611602783203","96.7","95.815075","96.1","97.837216","95.81211","94.211133","88.579206","94","96.1679763793945","89.920884","95.170734","98.195281","99.227943","98.874112","98.7481918334961","99.079263","99.232931","99.520076","99.310844","99.46435","99.5","99.4","99.5","99.9493637084961","",
"Brazil","BRA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.538681","98.2193756103516","97.523788","98.033975","98.5986251831055","98.589696","98.915038","99.056926","99.137016","99.186252","99.0293731689453","99.215119","99.426994","99.504184","99.585301","99.634816","99.708742","99.781449","99.821747","99.85168","99.6916275024414","99.898571","99.927418","99.935013","99.945554","99.956197","99.9","99.9","99.9","100","",
"Barbados","BRB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","99.99462890625","100","99.9374694824219","99.8877105712891","99.8596725463867","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Brunei Darussalam","BRN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bhutan","BTN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.74","97.091682434082","97.2098770141602","97.4","97.4699935913086","96.776382762131","97.8015747070313","98.73","98.1983642578125","98.4103698730469","99.3055555555556","99.4622802734375","99.6","99.4027633666992","99.4548568725586","99.6525573730469","99.8479080200195","99.1","99.9904937744141","100","",
"Botswana","BWA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","18.3537273406982","20.9881744384766","23.616304397583","26.234956741333","28.840970993042","31.431188583374","34.0024490356445","36.5532760620117","39.0889167785645","37","44.1423530578613","46.6740036010742","49.2181816101074","51.7815780639648","54.3654747009277","56.9657325744629","60.1","60.76","67.7077560424805","69.13","72.5625305175781","74.6173706054688","76.5868606567383","79.58","81.0769805908203","84","85.6928634643555","88.2935791015625","",
"Central African Republic","CAF","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","9.1618595123291","10.1394186019897","11.0980224609375","12.0361928939819","15.6","13.8738994598389","14.7872943878174","15.7062873840332","16.6378078460693","17.5885486602783","20.263671875","19.5473861694336","11.86","21.5541839599609","24.9","26.2541732788086","27.2752990722656","28.0134544372559","28.6662712097168","29.4961986541748","30.5230312347412","31.5239105224609","32.3259468078613","32.1","",
"Canada","CAN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Central Europe and the Baltics","CEB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9170951681014","100","100","100","",
"Switzerland","CHE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Channel Islands","CHI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Chile","CHL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.846714","99.1867752075195","99.107534","99.3453903198242","99.4167938232422","99.4787292480469","99.441775","99.5615158081055","99.667146","99.5701675415039","99.782113","99.5197448730469","99.4890823364258","99.707507","99.4514694213867","99.4581451416016","99.814949","99.5288543701172","99.5843811035156","99.869036","99.7139205932617","99.856911","100","99.8","100","99.876858","100","99.8","100","100","",
"China","CHN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.754280090332","99.7526397705078","99.756591796875","99.7730712890625","99.8087692260742","99.8649749755859","99.9308700561523","99.975944519043","99.99609375","100","100","100","100","100","100","100","100","100","100","",
"Cote d'Ivoire","CIV","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7","78.3763961791992","79.044189453125","79.6961898803711","80.329231262207","85.9","81.5392608642578","82.12841796875","82.7162551879883","83.309684753418","83.915641784668","86.4","91.2270123605668","85.8485412597656","88.77","87.2042083740234","87.8890991210938","88.1","88.1","89.926399230957","90.5968856811523","86.5","92","92.5926284790039","93.255256652832","93.9177474975586","",
"Cameroon","CMR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","70.0741653442383","70.9762649536133","71.8720397949219","72.7583389282227","73.6319961547852","74.489860534668","79","76.1472473144531","79","83.95034","78.5392608642578","79.3385543823242","77.1","80.9814300537109","73","90.4","83.5807647705078","84.4682769775391","87.2735977172852","87.5","88.3198699951172","88.470458984375","89.2","89.7634887695313","90.6343383789063","91.5036239624023","90","93.240478515625","",
"Congo, Dem. Rep.","COD","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","23.8499202728271","25.3421630859375","26.8400039672852","28.3503704071045","30","31.430046081543","36.6","34.5749320983887","36.1609878540039","37.7502861022949","39.3384590148926","40.8","42.5008163452148","42","37","38","40","41","41","",
