"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Azerbaijan","AZE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0660884019975","97.6241320590466","100","98.3453492193973","98.6615998994409","98.9347686140872","99.1672354516098","99.3778185157457","99.5821908631078","99.807247921219","99.9233786946464","99.9","100","100","100","100","100","100","100","99.9781058844803","",
"Burundi","BDI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.882570483206034","","","","","0.99802515680224","0.980125763482994","1.70696264902892","2.26034477060379","1.65840740923353","2.96410500010644","3.09191157976148","",
"Belgium","BEL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.77705783175004","2.95153386395072","3.77084155437861","4.59248706500119","5.41179064848369","4.44922892055787","6.97646787264415","7.62742771606349","8.24632178044143","8.82712717703303","7.91549981079463","9.88908445224002","10.394831424987","10.9032361121317","10.573701122937","13.6236320209119","14.5507798161847","13.3955983574282","16.2260134625445","11.0660059345972","15.2602611054243","17.1921876820225","16.6736925428376","17.3715562994247","",
"Burkina Faso","BFA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11886320042586","1.35751354030041","1.6318759881764","1.89743050224686","2.07642889027307","2.17145348172265","","2.27629334360567","2.2798431999104","2.24353419214476","1.15256244861941","2.03172236656834","1.84517275185658","1.60149742463986","1.40805578270942","1.26661806098939","2.55069883855738","1.52984106021979","2.05503067446052","1.60422746399699","1.09483438839254","4.74987469841975","","","","","","",
"Bangladesh","BGD","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17101853037543","","","2.23884484895593","3.73433754799093","6.69330420934747","5.8814757415098","12.655072788125","15.6581285850542","16.8105220236095","21.61692233016","24.4634951434861","27.3180372758432","27.8762904305683","30.1718584590892","40.1709564245534","32.4922636024842","41.7106952607202","44.6657279186096","39.9978977899875","45.7070884097423","53.5274396397825","48.5877629301703","48.1211991287906","64.4949653272846","66.1436475256492","81.5710299440579","89.083007211039","88.8535984883373","",
"Bulgaria","BGR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahrain","BHR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5058870618272","99.720605934921","99.8895235712849","99.9753465679592","99.9980282530873","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahamas, The","BHS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bosnia and Herzegovina","BIH","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","97.8961462411848","100","100","100","99.1270621890816","100","100","100","100","100","100","100","100","100","100","100","100","100","",
